Symbol,DATE,CLOSE,Sector
HDFC,2019-08-19,2114.05,finance
TCS,2019-08-19,2163.0,it
AXISBANK,2019-08-19,685.0,banks
LT,2019-08-19,1352.2,infra
TATAMOTORS,2019-08-19,120.8,auto
KOTAKBANK,2019-08-19,1496.35,banks
BHARTIARTL,2019-08-19,361.0,telecommunications
INFY,2019-08-19,777.65,it
POWERGRID,2019-08-19,207.05,power
MARUTI,2019-08-19,5982.55,auto
ONGC,2019-08-19,126.3,oil_refineries
TATASTEEL,2019-08-19,359.55,iron_steel
ASIANPAINT,2019-08-19,1586.45,chemical
HINDUNILVR,2019-08-19,1820.9,personal_care
SUNPHARMA,2019-08-19,426.0,pharmaceuticals
NTPC,2019-08-19,118.9,power
ZEEL,2019-08-19,348.05,media_entmt
COALINDIA,2019-08-19,198.95,mining
ITC,2019-08-19,251.55,other
VEDL,2019-08-19,144.3,mining
EICHERMOT,2019-08-19,16337.7,auto
IOC,2019-08-19,125.8,oil_refineries
DRREDDY,2019-08-19,2509.1,pharmaceuticals
BAJAJFINSV,2019-08-19,7376.65,finance
TITAN,2019-08-19,1088.95,other
TECHM,2019-08-19,670.35,it
ULTRACEMCO,2019-08-19,4158.15,chemical
UPL,2019-08-19,542.05,chemical
M&M,2019-08-19,520.55,auto
HCLTECH,2019-08-19,532.02,it
NESTLEIND,2019-08-19,12066.6,food
WIPRO,2019-08-19,252.1,it
BAJAJ-AUTO,2019-08-19,2725.5,auto
BRITANNIA,2019-08-19,2478.4,food
JSWSTEEL,2019-08-19,226.2,iron_steel
GRASIM,2019-08-19,732.35,other
GAIL,2019-08-19,127.3,oil_refineries
HEROMOTOCO,2019-08-19,2631.5,auto
HINDALCO,2019-08-19,181.15,iron_steel
INFRATEL,2019-08-19,255.3,telecommunications
CIPLA,2019-08-19,475.85,pharmaceuticals
ADANIPORTS,2019-08-19,357.4,infra
RELIANCE,2019-08-16,1278.0,oil_refineries
SBIN,2019-08-16,290.9,banks
ICICIBANK,2019-08-16,418.95,banks
HDFCBANK,2019-08-16,1113.85,banks
BPCL,2019-08-16,351.2,oil_refineries
YESBANK,2019-08-16,79.45,banks
BAJFINANCE,2019-08-16,7439.4,finance
INDUSINDBK,2019-08-16,1439.1,banks
HDFC,2019-08-16,2100.0,finance
TCS,2019-08-16,2165.1,it
AXISBANK,2019-08-16,675.65,banks
LT,2019-08-16,1335.25,infra
TATAMOTORS,2019-08-16,121.35,auto
KOTAKBANK,2019-08-16,1498.95,banks
BHARTIARTL,2019-08-16,361.55,telecommunications
INFY,2019-08-16,774.55,it
POWERGRID,2019-08-16,211.15,power
MARUTI,2019-08-16,5975.05,auto
ONGC,2019-08-16,127.9,oil_refineries
TATASTEEL,2019-08-16,363.05,iron_steel
ASIANPAINT,2019-08-16,1597.45,chemical
HINDUNILVR,2019-08-16,1828.65,personal_care
SUNPHARMA,2019-08-16,414.7,pharmaceuticals
NTPC,2019-08-16,117.8,power
ZEEL,2019-08-16,346.6,media_entmt
COALINDIA,2019-08-16,201.95,mining
ITC,2019-08-16,253.0,other
VEDL,2019-08-16,144.4,mining
EICHERMOT,2019-08-16,16600.45,auto
IOC,2019-08-16,126.25,oil_refineries
DRREDDY,2019-08-16,2492.55,pharmaceuticals
BAJAJFINSV,2019-08-16,7439.4,finance
TITAN,2019-08-16,1075.8,other
TECHM,2019-08-16,659.0,it
ULTRACEMCO,2019-08-16,4208.0,chemical
UPL,2019-08-16,549.05,chemical
M&M,2019-08-16,527.85,auto
HCLTECH,2019-08-16,531.37,it
NESTLEIND,2019-08-16,12004.4,food
WIPRO,2019-08-16,249.2,it
BAJAJ-AUTO,2019-08-16,2750.95,auto
BRITANNIA,2019-08-16,2499.45,food
JSWSTEEL,2019-08-16,227.15,iron_steel
GRASIM,2019-08-16,752.25,other
GAIL,2019-08-16,129.65,oil_refineries
HEROMOTOCO,2019-08-16,2669.0,auto
HINDALCO,2019-08-16,179.8,iron_steel
INFRATEL,2019-08-16,249.2,telecommunications
CIPLA,2019-08-16,476.1,pharmaceuticals
ADANIPORTS,2019-08-16,357.35,infra
RELIANCE,2019-08-14,1288.25,oil_refineries
SBIN,2019-08-14,289.75,banks
ICICIBANK,2019-08-14,417.3,banks
HDFCBANK,2019-08-14,1114.72,banks
BPCL,2019-08-14,354.45,oil_refineries
YESBANK,2019-08-14,76.55,banks
BAJFINANCE,2019-08-14,7415.2,finance
INDUSINDBK,2019-08-14,1400.85,banks
HDFC,2019-08-14,2117.7,finance
TCS,2019-08-14,2204.4,it
AXISBANK,2019-08-14,663.2,banks
LT,2019-08-14,1333.7,infra
TATAMOTORS,2019-08-14,120.9,auto
KOTAKBANK,2019-08-14,1491.8,banks
BHARTIARTL,2019-08-14,361.2,telecommunications
INFY,2019-08-14,774.8,it
POWERGRID,2019-08-14,205.15,power
MARUTI,2019-08-14,5816.0,auto
ONGC,2019-08-14,126.85,oil_refineries
TATASTEEL,2019-08-14,364.65,iron_steel
ASIANPAINT,2019-08-14,1569.7,chemical
HINDUNILVR,2019-08-14,1839.05,personal_care
SUNPHARMA,2019-08-14,417.15,pharmaceuticals
NTPC,2019-08-14,117.6,power
ZEEL,2019-08-14,341.6,media_entmt
COALINDIA,2019-08-14,200.5,mining
ITC,2019-08-14,248.75,other
VEDL,2019-08-14,146.55,mining
EICHERMOT,2019-08-14,16574.65,auto
IOC,2019-08-14,126.45,oil_refineries
DRREDDY,2019-08-14,2511.95,pharmaceuticals
BAJAJFINSV,2019-08-14,7415.2,finance
TITAN,2019-08-14,1084.0,other
